func_src,label,cve_id,cwe,repo,commit,language
"function parse (sri, opts) {
  opts = opts || {}
  if (typeof sri === 'string') {
    return _parse(sri, opts)
  } else if (sri.algorithm && sri.digest) {
    const fullSri = new Integrity()
    fullSri[sri.algorithm] = [sri]
    return _parse(stringify(fullSri, opts), opts)
  } else {
    return _parse(stringify(sri, opts), opts)
  }
}

function _parse (integrity, opts) {
  // 3.4.3. Parse metadata
  // https://w3c.github.io/webappsec-subresource-integrity/#parse-metadata
  if (opts.single) {
    return new Hash(integrity, opts)
  }
  return integrity.trim().split(/\s+/).reduce((acc, string) => {
    const hash = new Hash(string, opts)
    if (hash.algorithm && hash.digest) {
      const algo = hash.algorithm
      if (!acc[algo]) { acc[algo] = [] }
      acc[algo].push(hash)
    }
    return acc
  }, new Integrity())
}

module.exports.stringify = stringify
function stringify (obj, opts) {
  if (obj.algorithm && obj.digest) {
    return Hash.prototype.toString.call(obj, opts)
  } else if (typeof obj === 'string') {
    return stringify(parse(obj, opts), opts)
  } else {
    return Integrity.prototype.toString.call(obj, opts)
  }
}",1,CVE-2018-7651,CWE-400,zkat/ssri,d0ebcdc22cb5c8f47f89716d08b3518b2485d65d,javascript
"function _parse (integrity, opts) {
  // 3.4.3. Parse metadata
  // https://w3c.github.io/webappsec-subresource-integrity/#parse-metadata
  if (opts.single) {
    return new Hash(integrity, opts)
  }
  return integrity.trim().split(/\s+/).reduce((acc, string) => {
    const hash = new Hash(string, opts)
    if (hash.algorithm && hash.digest) {
      const algo = hash.algorithm
      if (!acc[algo]) { acc[algo] = [] }
      acc[algo].push(hash)
    }
    return acc
  }, new Integrity())
}

module.exports.stringify = stringify
function stringify (obj, opts) {
  if (obj.algorithm && obj.digest) {
    return Hash.prototype.toString.call(obj, opts)
  } else if (typeof obj === 'string') {
    return stringify(parse(obj, opts), opts)
  } else {
    return Integrity.prototype.toString.call(obj, opts)
  }
}

module.exports.fromHex = fromHex
function fromHex (hexDigest, algorithm, opts) {
  const optString = (opts && opts.options && opts.options.length)
  ? `?${opts.options.join('?')}`
  : ''
  return parse(
    `${algorithm}-${
      Buffer.from(hexDigest, 'hex').toString('base64')
    }${optString}`, opts
  )
}
",1,CVE-2018-7651,CWE-400,zkat/ssri,d0ebcdc22cb5c8f47f89716d08b3518b2485d65d,javascript
"function stringify (obj, opts) {
  if (obj.algorithm && obj.digest) {
    return Hash.prototype.toString.call(obj, opts)
  } else if (typeof obj === 'string') {
    return stringify(parse(obj, opts), opts)
  } else {
    return Integrity.prototype.toString.call(obj, opts)
  }
}

module.exports.fromHex = fromHex
function fromHex (hexDigest, algorithm, opts) {
  const optString = (opts && opts.options && opts.options.length)
  ? `?${opts.options.join('?')}`
  : ''
  return parse(
    `${algorithm}-${
      Buffer.from(hexDigest, 'hex').toString('base64')
    }${optString}`, opts
  )
}

module.exports.fromData = fromData
function fromData (data, opts) {
  opts = opts || {}
  const algorithms = opts.algorithms || ['sha512']
  const optString = opts.options && opts.options.length
  ? `?${opts.options.join('?')}`
  : ''
  return algorithms.reduce((acc, algo) => {
    const digest = crypto.createHash(algo).update(data).digest('base64')
    const hash = new Hash(
      `${algo}-${digest}${optString}`,
       opts
    )
    if (hash.algorithm && hash.digest) {
      const algo = hash.algorithm
      if (!acc[algo]) { acc[algo] = [] }
      acc[algo].push(hash)
    }",1,CVE-2018-7651,CWE-400,zkat/ssri,d0ebcdc22cb5c8f47f89716d08b3518b2485d65d,javascript
"function hash (data, algorithm) {
  return crypto.createHash(algorithm).update(data).digest('base64')
}

test('serializes Integrity-likes', t => {
  const sriLike = {
    'sha512': [{
      digest: 'foo',
      algorithm: 'sha512',
      options: ['ayy', 'woo']
    }, {
      digest: 'bar',
      algorithm: 'sha512'
    }],
    'whirlpool': [{
      digest: 'wut',
      algorithm: 'whirlpool'
    }]
  }
  t.equal(
    ssri.stringify(sriLike),
    'sha512-foo?ayy?woo sha512-bar whirlpool-wut',
    'stringification contains correct data for all entries'
  )
  t.done()
})

test('serializes Hash-likes', t => {
  const sriLike = {
    digest: 'foo',
    algorithm: 'sha512'
  }
  t.equal(
    ssri.stringify(sriLike),
    'sha512-foo',
    'serialization has correct data'
  )
  t.done()
})
",1,CVE-2018-7651,CWE-400,zkat/ssri,d0ebcdc22cb5c8f47f89716d08b3518b2485d65d,javascript
"var configure = function( app, configObject ) {
	if( typeof configObject !== ""undefined"" ) {
		configuration.directory = configObject.directory || configuration.directory;
		configuration.extension = configObject.extension || configuration.extension;
		configuration.objectNotation = configObject.objectNotation || configuration.objectNotation;
	}

	// Register routes
	app.get( ""/i18n/:locale"", i18nRoutes.i18n );
	app.get( ""/i18n/:locale/:phrase"", i18nRoutes.translate );
};

/**
 * Middleware to allow retrieval of users locale in the template engine.
 * @param {Object} request
 * @param {Object} response
 * @param {Function} [next]
 */
var getLocale = function( request, response, next ) {
	response.locals.i18n = {
		getLocale : function() {
			return i18n.getLocale.apply( request, arguments );
		}
	};

	// For backwards compatibility, also define ""acceptedLanguage"".
	response.locals.acceptedLanguage = response.locals.i18n.getLocale;

	if( typeof next !== ""undefined"" ) {
		next();
	}
};

var i18nRoutes = {
	/**
	 * Sends a translation file to the client.
	 * @param request
	 * @param response
	 */
	i18n : function( request, response ) {",1,CVE-2016-10524,CWE-400,oliversalzburg/i18n-node-angular,877720d2d9bb90dc8233706e81ffa03f99fc9dc8,javascript
"var getLocale = function( request, response, next ) {
	response.locals.i18n = {
		getLocale : function() {
			return i18n.getLocale.apply( request, arguments );
		}
	};

	// For backwards compatibility, also define ""acceptedLanguage"".
	response.locals.acceptedLanguage = response.locals.i18n.getLocale;

	if( typeof next !== ""undefined"" ) {
		next();
	}
};

var i18nRoutes = {
	/**
	 * Sends a translation file to the client.
	 * @param request
	 * @param response
	 */
	i18n : function( request, response ) {
		var locale = request.params.locale;
		var sendFile = response.sendFile || response.sendfile;
		sendFile.apply( response, [ path.join( configuration.directory, locale + configuration.extension ) ] );
	},

	/**
	 * Translate a given string and provide the result.
	 * @param request
	 * @param response
	 */
	translate : function( request, response ) {
		var locale = request.params.locale;
		var phrase = request.params.phrase;

		var result;
		if( request.query.plural ) {
			var singular = phrase;
			var plural = request.query.plural;",1,CVE-2016-10524,CWE-400,oliversalzburg/i18n-node-angular,877720d2d9bb90dc8233706e81ffa03f99fc9dc8,javascript
"getLocale : function() {
			return i18n.getLocale.apply( request, arguments );
		}
	};

	// For backwards compatibility, also define ""acceptedLanguage"".
	response.locals.acceptedLanguage = response.locals.i18n.getLocale;

	if( typeof next !== ""undefined"" ) {
		next();
	}
};

var i18nRoutes = {
	/**
	 * Sends a translation file to the client.
	 * @param request
	 * @param response
	 */
	i18n : function( request, response ) {
		var locale = request.params.locale;
		var sendFile = response.sendFile || response.sendfile;
		sendFile.apply( response, [ path.join( configuration.directory, locale + configuration.extension ) ] );
	},

	/**
	 * Translate a given string and provide the result.
	 * @param request
	 * @param response
	 */
	translate : function( request, response ) {
		var locale = request.params.locale;
		var phrase = request.params.phrase;

		var result;
		if( request.query.plural ) {
			var singular = phrase;
			var plural = request.query.plural;
			// Make sure the information is added to the catalog if it doesn't exist yet.
			var translated = i18n.__n( {",1,CVE-2016-10524,CWE-400,oliversalzburg/i18n-node-angular,877720d2d9bb90dc8233706e81ffa03f99fc9dc8,javascript
"function _typeof(obj) { if (typeof Symbol === ""function"" && typeof Symbol.iterator === ""symbol"") { _typeof = function _typeof(obj) { return typeof obj; }; } else { _typeof = function _typeof(obj) { return obj && typeof Symbol === ""function"" && obj.constructor === Symbol && obj !== Symbol.prototype ? ""symbol"" : typeof obj; }; } return _typeof(obj); }

function _slicedToArray(arr, i) { return _arrayWithHoles(arr) || _iterableToArrayLimit(arr, i) || _nonIterableRest(); }

function _nonIterableRest() { throw new TypeError(""Invalid attempt to destructure non-iterable instance""); }

function _iterableToArrayLimit(arr, i) { var _arr = []; var _n = true; var _d = false; var _e = undefined; try { for (var _i = arr[Symbol.iterator](), _s; !(_n = (_s = _i.next()).done); _n = true) { _arr.push(_s.value); if (i && _arr.length === i) break; } } catch (err) { _d = true; _e = err; } finally { try { if (!_n && _i[""return""] != null) _i[""return""](); } finally { if (_d) throw _e; } } return _arr; }

function _arrayWithHoles(arr) { if (Array.isArray(arr)) return arr; }

function _toConsumableArray(arr) { return _arrayWithoutHoles(arr) || _iterableToArray(arr) || _nonIterableSpread(); }

function _nonIterableSpread() { throw new TypeError(""Invalid attempt to spread non-iterable instance""); }

function _iterableToArray(iter) { if (Symbol.iterator in Object(iter) || Object.prototype.toString.call(iter) === ""[object Arguments]"") return Array.from(iter); }

function _arrayWithoutHoles(arr) { if (Array.isArray(arr)) { for (var i = 0, arr2 = new Array(arr.length); i < arr.length; i++) { arr2[i] = arr[i]; } return arr2; } }

function ownKeys(object, enumerableOnly) { var keys = Object.keys(object); if (Object.getOwnPropertySymbols) { var symbols = Object.getOwnPropertySymbols(object); if (enumerableOnly) symbols = symbols.filter(function (sym) { return Object.getOwnPropertyDescriptor(object, sym).enumerable; }); keys.push.apply(keys, symbols); } return keys; }

function _objectSpread(target) { ",1,CVE-2019-17592,CWE-400,adaltas/node-csv-parse,b9d35940c6815cdf1dfd6b21857a1f6d0fd51e4a,javascript
"function _typeof(obj) { return typeof obj; }; } else { _typeof = function _typeof(obj) { return obj && typeof Symbol === ""function"" && obj.constructor === Symbol && obj !== Symbol.prototype ? ""symbol"" : typeof obj; }; } return _typeof(obj); }

function _slicedToArray(arr, i) { return _arrayWithHoles(arr) || _iterableToArrayLimit(arr, i) || _nonIterableRest(); }

function _nonIterableRest() { throw new TypeError(""Invalid attempt to destructure non-iterable instance""); }

function _iterableToArrayLimit(arr, i) { var _arr = []; var _n = true; var _d = false; var _e = undefined; try { for (var _i = arr[Symbol.iterator](), _s; !(_n = (_s = _i.next()).done); _n = true) { _arr.push(_s.value); if (i && _arr.length === i) break; } } catch (err) { _d = true; _e = err; } finally { try { if (!_n && _i[""return""] != null) _i[""return""](); } finally { if (_d) throw _e; } } return _arr; }

function _arrayWithHoles(arr) { if (Array.isArray(arr)) return arr; }

function _toConsumableArray(arr) { return _arrayWithoutHoles(arr) || _iterableToArray(arr) || _nonIterableSpread(); }

function _nonIterableSpread() { throw new TypeError(""Invalid attempt to spread non-iterable instance""); }

function _iterableToArray(iter) { if (Symbol.iterator in Object(iter) || Object.prototype.toString.call(iter) === ""[object Arguments]"") return Array.from(iter); }

function _arrayWithoutHoles(arr) { if (Array.isArray(arr)) { for (var i = 0, arr2 = new Array(arr.length); i < arr.length; i++) { arr2[i] = arr[i]; } return arr2; } }

function ownKeys(object, enumerableOnly) { var keys = Object.keys(object); if (Object.getOwnPropertySymbols) { var symbols = Object.getOwnPropertySymbols(object); if (enumerableOnly) symbols = symbols.filter(function (sym) { return Object.getOwnPropertyDescriptor(object, sym).enumerable; }); keys.push.apply(keys, symbols); } return keys; }

function _objectSpread(target) { for (var i = 1; i < arguments.length; i++) { var source = arguments[i] != null ? arguments[i] : {}; if (i % 2",1,CVE-2019-17592,CWE-400,adaltas/node-csv-parse,b9d35940c6815cdf1dfd6b21857a1f6d0fd51e4a,javascript
"function _typeof(obj) { return obj && typeof Symbol === ""function"" && obj.constructor === Symbol && obj !== Symbol.prototype ? ""symbol"" : typeof obj; }; } return _typeof(obj); }

function _slicedToArray(arr, i) { return _arrayWithHoles(arr) || _iterableToArrayLimit(arr, i) || _nonIterableRest(); }

function _nonIterableRest() { throw new TypeError(""Invalid attempt to destructure non-iterable instance""); }

function _iterableToArrayLimit(arr, i) { var _arr = []; var _n = true; var _d = false; var _e = undefined; try { for (var _i = arr[Symbol.iterator](), _s; !(_n = (_s = _i.next()).done); _n = true) { _arr.push(_s.value); if (i && _arr.length === i) break; } } catch (err) { _d = true; _e = err; } finally { try { if (!_n && _i[""return""] != null) _i[""return""](); } finally { if (_d) throw _e; } } return _arr; }

function _arrayWithHoles(arr) { if (Array.isArray(arr)) return arr; }

function _toConsumableArray(arr) { return _arrayWithoutHoles(arr) || _iterableToArray(arr) || _nonIterableSpread(); }

function _nonIterableSpread() { throw new TypeError(""Invalid attempt to spread non-iterable instance""); }

function _iterableToArray(iter) { if (Symbol.iterator in Object(iter) || Object.prototype.toString.call(iter) === ""[object Arguments]"") return Array.from(iter); }

function _arrayWithoutHoles(arr) { if (Array.isArray(arr)) { for (var i = 0, arr2 = new Array(arr.length); i < arr.length; i++) { arr2[i] = arr[i]; } return arr2; } }

function ownKeys(object, enumerableOnly) { var keys = Object.keys(object); if (Object.getOwnPropertySymbols) { var symbols = Object.getOwnPropertySymbols(object); if (enumerableOnly) symbols = symbols.filter(function (sym) { return Object.getOwnPropertyDescriptor(object, sym).enumerable; }); keys.push.apply(keys, symbols); } return keys; }

function _objectSpread(target) { for (var i = 1; i < arguments.length; i++) { var source = arguments[i] != null ? arguments[i] : {}; if (i % 2) { ownKeys(source, true).forEach(function (key) { _definePropert",1,CVE-2019-17592,CWE-400,adaltas/node-csv-parse,b9d35940c6815cdf1dfd6b21857a1f6d0fd51e4a,javascript
